pop_ID	size	DLpop
Blabo	0.86075	3.41
Blabo	0.82945	3.41
Blabo	0.9077	3.41
Blabo	0.64165	3.41
Blabo	0.73555	3.41
Blabo	0.8764	3.41
Blabo	1.0016	3.41
Blabo	0.95465	3.41
Blabo	0.73555	3.41
Blabo	0.939	3.41
Blabo	0.82945	3.41
Blabo	0.92335	3.41
Blabo	0.7825	3.41
Blabo	0.95465	3.41
Blabo	0.73555	3.41
Blabo	0.8764	3.41
Blabo	0.86075	3.41
Blabo	0.8451	3.41
Blabo	0.8451	3.41
Blabo	0.79815	3.41
P13	0.8451	186.5
P13	0.8451	186.5
P13	0.8451	186.5
P13	0.70425	186.5
P13	0.7825	186.5
P13	0.70425	186.5
P13	0.9077	186.5
P13	0.7199	186.5
P13	0.7512	186.5
P13	0.7825	186.5
P13	0.86075	186.5
P13	0.79815	186.5
P13	0.7825	186.5
P13	0.7825	186.5
P13	0.95465	186.5
P13	0.82945	186.5
P13	0.86075	186.5
P13	0.95465	186.5
P13	0.7825	186.5
P13	0.95465	186.5
P18	0.7512	368.01
P18	0.76685	368.01
P18	0.8138	368.01
P18	0.82945	368.01
P18	0.8138	368.01
P18	0.7512	368.01
P18	0.76685	368.01
P18	0.8764	368.01
P18	0.7512	368.01
P18	0.7825	368.01
P18	0.7825	368.01
P18	0.8451	368.01
P18	0.8764	368.01
P18	0.7199	368.01
P18	0.86075	368.01
P18	0.8138	368.01
P18	0.76685	368.01
P18	0.8138	368.01
P18	0.8451	368.01
P18	0.8764	368.01
P21	0.7825	69.77
P21	0.8138	69.77
P21	0.73555	69.77
P21	0.95465	69.77
P21	0.76685	69.77
P21	0.8764	69.77
P21	0.8764	69.77
P21	0.8138	69.77
P21	0.7825	69.77
P21	0.73555	69.77
P21	0.79815	69.77
P21	0.79815	69.77
P21	0.8451	69.77
P21	0.8138	69.77
P21	0.8138	69.77
P21	0.7825	69.77
P21	0.8451	69.77
P21	0.7512	69.77
P21	0.86075	69.77
P21	0.86075	69.77
P25	0.939	505.56
P25	0.7825	505.56
P25	0.79815	505.56
P25	0.73555	505.56
P25	0.9077	505.56
P25	0.79815	505.56
P25	0.7199	505.56
P25	0.9703	505.56
P25	0.8764	505.56
P25	0.82945	505.56
P25	0.7825	505.56
P25	0.8451	505.56
P25	0.8138	505.56
P25	0.89205	505.56
P25	0.82945	505.56
P25	0.82945	505.56
P25	0.92335	505.56
P25	0.92335	505.56
P25	0.9077	505.56
P25	0.8451	505.56
P31	0.8451	63.66
P31	0.79815	63.66
P31	0.86075	63.66
P31	0.79815	63.66
P31	0.76685	63.66
P31	0.8451	63.66
P31	0.8451	63.66
P31	0.7512	63.66
P31	0.76685	63.66
P31	0.95465	63.66
P31	0.8451	63.66
P31	0.6886	63.66
P31	0.86075	63.66
P31	0.92335	63.66
P31	0.89205	63.66
P31	0.86075	63.66
P31	0.86075	63.66
P31	0.86075	63.66
P31	0.89205	63.66
P31	0.8138	63.66
P56	0.79815	245.99
P56	0.8138	245.99
P56	0.82945	245.99
P56	0.67295	245.99
P56	0.86075	245.99
P56	0.67295	245.99
P56	0.7825	245.99
P56	0.89205	245.99
P56	0.8138	245.99
P56	0.92335	245.99
P56	0.89205	245.99
P56	0.8764	245.99
P56	0.76685	245.99
P56	0.79815	245.99
P56	0.6886	245.99
P56	0.79815	245.99
P56	0.76685	245.99
P56	0.7825	245.99
P56	0.76685	245.99
P56	0.8451	245.99
P65	0.8451	146.16
P65	0.73555	146.16
P65	0.7825	146.16
P65	0.7825	146.16
P65	0.89205	146.16
P65	0.76685	146.16
P65	0.79815	146.16
P65	0.8764	146.16
P65	0.8138	146.16
P65	0.79815	146.16
P65	0.7199	146.16
P65	0.86075	146.16
P65	0.8764	146.16
P65	0.8764	146.16
P65	0.76685	146.16
P65	0.70425	146.16
P65	0.8138	146.16
P65	0.8451	146.16
P65	0.70425	146.16
P65	0.8764	146.16
