population_ID	species	environment_type	pesticide	modality	dose	repetition_ID	alive	dead	total
IO	IO	Laboratory	supreme	control	0	r1	15	0	15
IO	IO	Laboratory	supreme	control	0	r2	14	1	15
IO	IO	Laboratory	supreme	control	0	r3	15	0	15
IO	IO	Laboratory	supreme	control	0	r4	12	3	15
IO	IO	Laboratory	supreme	dose	4.06	r1	4	11	15
IO	IO	Laboratory	supreme	dose	4.06	r2	6	9	15
IO	IO	Laboratory	supreme	dose	4.06	r3	2	13	15
IO	IO	Laboratory	supreme	dose	4.06	r4	6	9	15
IO	IO	Laboratory	supreme	dose	8.13	r1	3	11	14
IO	IO	Laboratory	supreme	dose	8.13	r2	2	12	14
IO	IO	Laboratory	supreme	dose	8.13	r3	3	11	14
IO	IO	Laboratory	supreme	dose	8.13	r4	0	15	15
IO	IO	Laboratory	supreme	dose	16.25	r1	2	13	15
IO	IO	Laboratory	supreme	dose	16.25	r2	1	14	15
IO	IO	Laboratory	supreme	dose	16.25	r3	0	15	15
IO	IO	Laboratory	supreme	dose	16.25	r4	1	14	15
IO	IO	Laboratory	supreme	dose	32.5	r1	0	16	16
IO	IO	Laboratory	supreme	dose	32.5	r2	3	12	15
IO	IO	Laboratory	supreme	dose	32.5	r3	0	15	15
IO	IO	Laboratory	supreme	dose	32.5	r4	0	14	14
IO	IO	Laboratory	supreme	dose	65	r1	0	15	15
IO	IO	Laboratory	supreme	dose	65	r2	0	15	15
IO	IO	Laboratory	supreme	dose	65	r3	0	15	15
IO	IO	Laboratory	supreme	dose	65	r4	0	15	15
IO	IO	Laboratory	supreme	dose	130	r1	0	15	15
IO	IO	Laboratory	supreme	dose	130	r2	0	15	15
IO	IO	Laboratory	supreme	dose	130	r3	0	15	15
IO	IO	Laboratory	supreme	dose	130	r4	0	15	15
IO	IO	Laboratory	supreme	dose	260	r1	0	15	15
IO	IO	Laboratory	supreme	dose	260	r2	1	14	15
IO	IO	Laboratory	supreme	dose	260	r3	0	15	15
IO	IO	Laboratory	supreme	dose	260	r4	0	15	15
IO	IO	Laboratory	supreme	control	0	r1	14	1	15
IO	IO	Laboratory	supreme	control	0	r2	13	1	14
IO	IO	Laboratory	supreme	control	0	r3	14	1	15
IO	IO	Laboratory	supreme	control	0	r4	14	1	15
IO	IO	Laboratory	supreme	dose	0.51	r1	11	4	15
IO	IO	Laboratory	supreme	dose	0.51	r2	13	1	14
IO	IO	Laboratory	supreme	dose	0.51	r3	12	3	15
IO	IO	Laboratory	supreme	dose	0.51	r4	13	2	15
IO	IO	Laboratory	supreme	dose	1.02	r1	14	1	15
IO	IO	Laboratory	supreme	dose	1.02	r2	10	5	15
IO	IO	Laboratory	supreme	dose	1.02	r3	10	4	14
IO	IO	Laboratory	supreme	dose	1.02	r4	12	3	15
IO	IO	Laboratory	supreme	dose	2.03	r1	8	7	15
IO	IO	Laboratory	supreme	dose	2.03	r2	5	9	14
IO	IO	Laboratory	supreme	dose	2.03	r3	8	7	15
IO	IO	Laboratory	supreme	dose	2.03	r4	7	6	13
IO	IO	Laboratory	supreme	dose	4.06	r1	5	10	15
IO	IO	Laboratory	supreme	dose	4.06	r2	2	13	15
IO	IO	Laboratory	supreme	dose	4.06	r3	5	10	15
IO	IO	Laboratory	supreme	dose	4.06	r4	2	13	15
IO	IO	Laboratory	supreme	dose	8.13	r1	3	12	15
IO	IO	Laboratory	supreme	dose	8.13	r2	4	11	15
IO	IO	Laboratory	supreme	dose	8.13	r3	1	14	15
IO	IO	Laboratory	supreme	dose	8.13	r4	1	14	15
IO	IO	Laboratory	supreme	dose	65	r1	0	15	15
IO	IO	Laboratory	supreme	dose	65	r2	0	15	15
IO	IO	Laboratory	supreme	dose	65	r3	0	15	15
IO	IO	Laboratory	supreme	dose	65	r4	0	15	15
P64MEAM1	MEAM1	Non-cultivated	supreme	control	0	r1	8	0	8
P64MEAM1	MEAM1	Non-cultivated	supreme	dose	1.02	r1	11	1	12
P64MEAM1	MEAM1	Non-cultivated	supreme	dose	2.03	r1	11	1	12
P64MEAM1	MEAM1	Non-cultivated	supreme	dose	4.06	r1	7	1	8
P64MEAM1	MEAM1	Non-cultivated	supreme	dose	8.13	r1	4	7	11
P64MEAM1	MEAM1	Non-cultivated	supreme	dose	16.25	r1	5	3	8
P64MEAM1	MEAM1	Non-cultivated	supreme	dose	32.5	r1	11	5	16
P64MEAM1	MEAM1	Non-cultivated	supreme	dose	130	r1	2	3	5
P64IO	IO	Non-cultivated	supreme	control	0	r1	29	0	29
P64IO	IO	Non-cultivated	supreme	dose	1.02	r1	18	6	24
P64IO	IO	Non-cultivated	supreme	dose	2.03	r1	15	6	21
P64IO	IO	Non-cultivated	supreme	dose	4.06	r1	10	9	19
P64IO	IO	Non-cultivated	supreme	dose	8.13	r1	1	27	28
P64IO	IO	Non-cultivated	supreme	dose	16.25	r1	2	28	30
P64IO	IO	Non-cultivated	supreme	dose	32.5	r1	0	22	22
P64IO	IO	Non-cultivated	supreme	dose	130	r1	0	36	36
P35	IO	Non-cultivated	supreme	control	0	r1	12	3	15
P35	IO	Non-cultivated	supreme	control	0	r2	15	0	15
P35	IO	Non-cultivated	supreme	control	0	r3	15	0	15
P35	IO	Non-cultivated	supreme	dose	1.02	r1	11	4	15
P35	IO	Non-cultivated	supreme	dose	1.02	r2	14	1	15
P35	IO	Non-cultivated	supreme	dose	1.02	r3	12	3	15
P35	IO	Non-cultivated	supreme	dose	2.03	r1	6	9	15
P35	IO	Non-cultivated	supreme	dose	2.03	r2	7	8	15
P35	IO	Non-cultivated	supreme	dose	2.03	r3	7	8	15
P35	IO	Non-cultivated	supreme	dose	4.06	r1	0	15	15
P35	IO	Non-cultivated	supreme	dose	4.06	r2	0	15	15
P35	IO	Non-cultivated	supreme	dose	4.06	r3	5	10	15
P35	IO	Non-cultivated	supreme	dose	8.13	r1	4	11	15
