pop_ID	life_expect	egg_tot	repetition	plant	eggs	adults	larvae	hatch_rate	eggtoadult_surv_rate	DLpop
Blabo	12	3	R01	NA	NA	NA	NA	NA	NA	NA
Blabo	6	5	R02	NA	NA	NA	NA	NA	NA	NA
Blabo	15	55	R03	C130	3	0	0	0	0	3.41
Blabo	6	32	R05	C62	32	8	10	0.3125	0.25	3.41
Blabo	6	13	R06	C102	9	6	6	0.666666667	0.666666667	3.41
Blabo	9	14	R07	C83	11	1	1	0.090909091	0.090909091	3.41
Blabo	27	51	R08	C55	14	0	4	0.285714286	0	3.41
Blabo	18	23	R09	C117	3	0	0	0	0	3.41
Blabo	18	18	R10	C51	2	0	0	0	0	3.41
P13	12	50	R01	C132	11	9	9	0.818181818	0.818181818	186.5
P13	9	66	R02	C118	33	14	18	0.545454545	0.424242424	186.5
P13	6	4	R03	C101	4	0	0	0	0	186.5
P13	12	76	R04	C104	29	25	25	0.862068966	0.862068966	186.5
P13	6	20	R05	C10	16	10	16	1	0.625	186.5
P13	18	95	R06	C119	28	23	24	0.857142857	0.821428571	186.5
P13	18	56	R07	C103	8	8	8	1	1	186.5
P13	12	48	R08	NA	NA	NA	NA	NA	NA	NA
P13	12	48	R10	C103	28	20	21	0.75	0.714285714	186.5
P18	6	0	R01	NA	NA	NA	NA	NA	NA	NA
P18	12	79	R02	NA	NA	NA	NA	NA	NA	NA
P18	33	143	R03	C20	19	11	11	0.578947368	0.578947368	368.01
P18	18	86	R04	C23	8	6	8	1	0.75	368.01
P18	30	154	R05	NA	NA	NA	NA	NA	NA	NA
P18	21	124	R06	C90	29	27	27	0.931034483	0.931034483	368.01
P18	21	114	R07	C13	5	4	5	1	0.8	368.01
P18	15	168	R08	NA	NA	NA	NA	NA	NA	NA
P18	9	32	R09	C60	13	0	0	0	0	368.01
P18	21	176	R10	C53	23	16	17	0.739130435	0.695652174	368.01
P21	15	67	R01	C122	22	18	19	0.863636364	0.818181818	69.77
P21	12	52	R02	C20	23	15	17	0.739130435	0.652173913	69.77
P21	18	54	R03	C23	14	4	10	0.714285714	0.285714286	69.77
P21	15	118	R04	C17	22	18	20	0.909090909	0.818181818	69.77
P21	12	14	R09	C54	4	0	0	0	0	69.77
P21	18	89	R06	C133	18	12	13	0.722222222	0.666666667	69.77
P21	15	102	R07	C134	18	0	1	0.055555556	0	69.77
P21	18	111	R08	NA	NA	NA	NA	NA	NA	NA
P21	12	58	R09	C15	14	9	13	0.928571429	0.642857143	69.77
P21	27	167	R10	C13	36	17	17	0.472222222	0.472222222	69.77
P25	15	66	R01	C81	17	14	14	0.823529412	0.823529412	505.56
P25	6	14	R02	C103	14	4	6	0.428571429	0.285714286	505.56
P25	21	136	R03	C80	12	5	8	0.666666667	0.416666667	505.56
P25	12	53	R04	C79	23	13	14	0.608695652	0.565217391	505.56
P25	18	69	R05	C118	8	8	8	1	1	505.56
P25	15	70	R06	C132	18	8	10	0.555555556	0.444444444	505.56
P25	9	52	R07	C123	25	25	25	1	1	505.56
P25	9	59	R08	C138	20	0	0	0	0	505.56
P25	15	62	R09	C89	24	18	20	0.833333333	0.75	505.56
P25	18	127	R10	C140	23	7	14	0.608695652	0.304347826	505.56
P31	6	10	R01	C155	10	2	2	0.2	0.2	63.66
P31	NA	NA	R01	C2	30	18	20	0.666666667	0.6	63.66
P31	NA	NA	R03a	C19	22	16	19	0.863636364	0.727272727	63.66
P31	18	154	R03	C48	15	6	6	0.4	0.4	63.66
P31	12	63	R04	C22	28	11	11	0.392857143	0.392857143	63.66
P31	9	35	R05	C155	23	2	20	0.869565217	0.086956522	63.66
P31	NA	NA	R06	C50	32	15	18	0.5625	0.46875	63.66
P31	6	2	R07a	C8	2	0	2	1	0	63.66
P31	6	23	R07	C53	23	8	13	0.565217391	0.347826087	63.66
P31	12	70	R08	C13	32	23	25	0.78125	0.71875	63.66
P31	12	84	R09	C49	24	17	19	0.791666667	0.708333333	63.66
P31	12	86	R10	C21	16	6	6	0.375	0.375	63.66
P56	12	62	R01	C4	27	13	14	0.518518519	0.481481481	245.99
P56	12	33	R02	C131	5	4	4	0.8	0.8	245.99
P56	6	5	R03	C51	5	1	2	0.4	0.2	245.99
P56	6	11	R04	C90	11	8	8	0.727272727	0.727272727	245.99
P56	6	0	R05	NA	NA	NA	NA	NA	NA	NA
P56	15	73	R06	C140	10	9	9	0.9	0.9	245.99
P56	6	18	R08	C132	8	1	1	0.125	0.125	245.99
P56	NA	NA	R09	C10	19	14	15	0.789473684	0.736842105	245.99
P56	27	144	R09	C139	30	15	18	0.6	0.5	245.99
P56	NA	NA	R10a	C11	2	0	0	0	0	245.99
P56	6	33	R10	C101	22	17	17	0.772727273	0.772727273	245.99
P65	27	146	R01	C83	34	22	30	0.882352941	0.647058824	146.16
P65	12	85	R02	C82	28	18	19	0.678571429	0.642857143	146.16
P65	18	119	R03	C14	20	9	10	0.5	0.45	146.16
P65	24	189	R04	C81	9	0	3	0.333333333	0	146.16
P65	27	198	R05	C10	42	33	42	1	0.785714286	146.16
P65	6	33	R06	C11	23	16	18	0.782608696	0.695652174	146.16
P65	12	48	R07	NA	NA	NA	NA	NA	NA	NA
P65	12	45	R08	C17	19	18	18	0.947368421	0.947368421	146.16
P65	21	155	R09	C101	15	4	7	0.466666667	0.266666667	146.16
P65	15	79	R10	C122	18	18	18	1	1	146.16
P65	NA	NA	R09	C79	16	11	12	0.75	0.6875	146.16
